City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangai,59.3833,143.3,15.89,76,27,3.1,RU,1687913009
1,pangai,39.3558,-9.3811,20.72,93,1,7.96,PT,1687913148
2,pangai,-53.15,-70.9167,0.62,100,100,4.15,CL,1687912502
3,pangai,-23.1203,-134.9692,23.4,76,12,5.78,PF,1687912587
4,pangai,52.6333,29.7333,12.08,95,100,2.32,BY,1687913149
5,pangai,-38.2667,141.9667,10.91,76,100,5.51,AU,1687912656
6,pangai,-24.7911,-50.0119,11.75,90,0,1.63,BR,1687912623
7,pangai,-12.5763,13.4055,17.45,89,62,0.42,AO,1687913149
8,pangai,8.3233,-73.1489,19.19,96,27,1.18,CO,1687913149
9,pangai,-33.8667,121.9,12.78,71,97,5.23,AU,1687912589
10,pangai,-54.8,-68.3,-4.19,74,20,2.06,AR,1687912587
11,pangai,7.9803,49.8164,25.21,75,16,10.52,SO,1687913056
12,pangai,-33.918,25.5701,16.16,93,40,5.66,ZA,1687912588
13,pangai,-10.1667,123.5833,28.32,78,20,4.12,ID,1687912780
14,pangai,28.4532,117.9686,29.16,77,52,1.16,CN,1687913150
15,pangai,-9.8,-139.0333,26.56,71,4,11.57,PF,1687912591
16,pangai,66.0449,-17.3389,9.39,92,100,3.6,IS,1687913007
17,pangai,14.8961,-24.4956,24.1,80,5,3.51,CV,1687912598
18,pangai,77.484,-69.3632,6.39,70,100,2.64,GL,1687912607
19,pangai,28.3667,129.4833,27.51,80,100,3.62,JP,1687912613
20,pangai,-34.4187,19.2345,12.67,84,76,2.56,ZA,1687912604
21,pangai,50.3891,30.3705,17.31,88,100,4.41,UA,1687913151
22,pangai,-25.2667,23.2833,10.45,50,58,2.66,BW,1687913151
23,pangai,25.5198,90.2201,23.64,95,100,2.53,IN,1687913125
24,pangai,30.2366,-93.3774,33.11,77,0,5.66,US,1687913151
25,pangai,11.2725,-73.3091,26.51,89,63,1.88,CO,1687913152
26,pangai,-46.1927,168.8643,10.55,95,100,0.87,NZ,1687912589
27,pangai,59.617,52.4703,15.3,67,100,1.91,RU,1687912640
28,pangai,42.6001,-73.9662,22.47,82,100,3.16,US,1687912419
29,pangai,-33.65,115.3333,12.66,79,100,2.27,AU,1687912588
30,pangai,58.2093,-6.3865,12.98,89,100,2.57,GB,1687912635
31,pangai,12.1,75.2,24.87,92,100,1.66,IN,1687913152
32,pangai,55.7435,-97.8558,22.09,56,100,5.14,CA,1687912591
33,pangai,-0.7393,-90.3518,25.31,91,100,2.24,EC,1687912592
34,pangai,-33.9258,18.4232,12.83,91,75,1.03,ZA,1687912501
35,pangai,5.4112,100.3354,27.19,91,40,2.06,MY,1687912417
36,pangai,-14.4667,132.2667,25.18,73,66,3.6,AU,1687913153
37,pangai,-17.7333,-149.15,26.46,74,0,8.96,PF,1687913023
38,pangai,42.097,-79.2353,17.79,83,100,5.66,US,1687912546
39,pangai,22.6906,58.5334,26.72,73,100,3.47,OM,1687913153
40,pangai,-46.6,168.3333,11.34,89,100,3.47,NZ,1687912609
41,pangai,-28.5708,-70.7581,18.44,38,100,0.84,CL,1687913154
42,pangai,-21.2078,-159.775,27.03,83,100,4.12,CK,1687912343
43,pangai,-1.5843,14.2591,23.89,74,68,3.82,GA,1687913154
44,pangai,-10.0681,-78.1522,21.04,79,4,4.25,PE,1687913154
45,pangai,71.9167,114.0833,19.18,48,100,7.07,RU,1687912614
46,pangai,65.282,-126.8329,25.02,47,75,4.12,CA,1687912607
47,pangai,29.0605,-13.564,24.12,78,0,0.0,ES,1687913040
48,pangai,3.0833,-59.95,26.1,81,69,0.75,BR,1687913154
49,pangai,71.2906,-156.7887,7.01,81,75,3.6,US,1687912626
50,pangai,56.45,138.1667,10.1,96,100,1.02,RU,1687913048
51,pangai,28.7086,-82.0831,30.61,76,78,4.13,US,1687913155
52,pangai,47.6666,-52.7314,11.27,93,100,6.69,CA,1687912995
53,pangai,51.3813,1.3862,18.26,79,100,1.79,GB,1687912594
54,pangai,-25.4,-70.4833,17.2,72,5,2.42,CL,1687912658
55,pangai,54.7183,135.315,10.82,88,100,4.75,RU,1687912632
56,pangai,-34.0033,24.7314,14.38,91,100,2.04,ZA,1687912626
57,pangai,-41.8697,-73.8203,9.12,78,87,4.84,CL,1687913033
58,pangai,37.2707,-76.7075,27.69,82,75,0.89,US,1687913156
59,pangai,34.8791,-76.9013,27.98,84,0,4.12,US,1687913007
60,pangai,59.6425,-151.5483,12.09,72,100,0.0,US,1687913156
61,pangai,54.7682,-101.865,18.72,85,23,2.75,CA,1687913157
62,pangai,-45.4167,167.7167,8.12,96,100,1.15,NZ,1687912647
63,pangai,42.8,93.45,27.13,18,0,1.2,CN,1687912511
64,pangai,66.9395,-53.6735,3.96,88,49,3.79,GL,1687912597
65,pangai,7.7669,-72.225,24.1,96,16,1.16,VE,1687912624
66,pangai,-37.6167,-73.65,9.6,82,100,1.42,CL,1687912598
67,pangai,38.4167,77.2406,24.04,35,0,4.81,CN,1687912628
68,pangai,72.7868,-56.1549,1.46,97,100,5.49,GL,1687912607
69,pangai,-19.0595,-169.9187,27.94,78,40,5.66,NU,1687913049
70,pangai,19.7297,-155.09,27.38,81,100,3.6,US,1687912566
71,pangai,19.9333,-105.25,28.37,72,92,1.04,MX,1687913159
72,pangai,38.5167,-28.7,20.99,85,75,7.6,PT,1687912342
73,pangai,-22.6667,167.4833,20.76,60,49,8.43,NC,1687913160
74,pangai,62.456,-114.3525,24.29,41,75,4.12,CA,1687912501
75,pangai,-23.3156,-46.2214,16.84,75,0,1.29,BR,1687913161
76,pangai,71.6872,128.8694,5.52,76,100,3.5,RU,1687912612
77,pangai,-17.0,145.4333,25.82,68,1,3.19,AU,1687912605
78,pangai,20.5169,-13.0499,32.88,13,8,5.13,MR,1687912550
79,pangai,-21.3585,55.7679,19.77,74,64,5.1,RE,1687912602
80,pangai,21.3469,-158.0858,30.18,51,20,7.2,US,1687913161
81,pangai,-21.2,-175.2,24.08,73,0,12.16,TO,1687912610
82,pangai,-19.25,146.8,25.49,69,40,2.57,AU,1687913161
83,pangai,54.4299,31.8996,12.67,97,100,3.2,RU,1687913162
84,pangai,-33.0153,27.9116,17.39,82,100,10.96,ZA,1687912605
85,pangai,-17.7125,-39.2481,21.21,82,0,1.75,BR,1687912651
86,pangai,22.0752,-159.319,29.18,73,75,7.2,US,1687912597
87,pangai,59.7035,30.7861,14.95,77,98,1.3,RU,1687912617
88,pangai,-22.4961,-44.5633,16.73,67,0,1.3,BR,1687913162
89,pangai,35.308,51.7267,30.0,15,0,3.04,IR,1687913162
90,pangai,21.3156,-158.0072,30.97,51,20,7.2,US,1687913163
91,pangai,-33.5906,26.891,16.77,85,100,2.68,ZA,1687912593
92,pangai,57.2169,94.8978,16.04,55,4,4.3,RU,1687913163
93,pangai,32.834,-109.7076,41.51,8,0,9.26,US,1687913163
94,pangai,13.4317,-6.2157,29.98,55,92,4.96,ML,1687913163
95,pangai,59.5833,151.2833,13.99,83,36,3.19,RU,1687912642
96,pangai,21.4612,-71.1419,28.26,75,100,5.66,TC,1687912539
97,pangai,69.4865,88.3972,10.67,61,100,2.4,RU,1687912631
98,pangai,-46.2817,169.8464,10.76,95,100,3.62,NZ,1687912602
99,pangai,-15.1961,12.1522,15.29,66,4,2.16,AO,1687912531
100,pangai,-19.2333,17.7167,9.74,29,0,2.73,NA,1687913165
101,pangai,-34.5322,20.0403,10.72,95,28,1.36,ZA,1687912603
102,pangai,36.5,-5.75,24.31,54,0,2.34,ES,1687913166
103,pangai,73.5069,80.5464,0.16,88,15,4.91,RU,1687912639
104,pangai,9.3642,14.9046,23.15,84,33,1.77,TD,1687913166
105,pangai,28.017,-97.5169,33.63,64,0,6.58,US,1687913016
106,pangai,-23.8131,-47.7164,14.35,73,0,1.43,BR,1687913124
107,pangai,48.3835,-77.2328,14.04,99,100,4.59,CA,1687912993
108,pangai,-43.3002,-65.1023,8.19,63,98,2.15,AR,1687912475
109,pangai,-7.7136,-66.9764,25.85,70,88,1.12,BR,1687913166
110,pangai,40.5982,-124.1573,14.25,91,100,5.66,US,1687913018
111,pangai,68.75,161.3,15.09,43,91,6.54,RU,1687912396
112,pangai,37.4833,141.0,28.73,89,100,2.82,JP,1687913167
113,pangai,43.3236,145.575,14.35,98,100,7.19,JP,1687913167
114,pangai,-3.6954,128.1814,30.69,92,40,1.03,ID,1687913167
115,pangai,-5.6667,132.75,27.26,83,100,7.99,ID,1687913168
116,pangai,22.2855,114.1577,29.1,88,98,4.47,HK,1687912418
117,pangai,-42.8794,147.3294,8.92,70,40,5.14,AU,1687912599
118,pangai,29.9576,122.298,24.98,92,61,7.79,CN,1687912615
119,pangai,71.0357,27.8492,7.97,87,100,1.03,NO,1687912630
120,pangai,-17.4667,16.3333,6.46,38,11,2.77,NA,1687913168
121,pangai,-24.3239,-50.6156,12.53,97,0,0.49,BR,1687913169
122,pangai,71.9667,102.5,11.1,87,100,8.3,RU,1687912624
123,pangai,69.4541,-133.0374,13.0,71,40,6.17,CA,1687912589
124,pangai,69.2167,-51.1,6.01,75,75,3.6,GL,1687912602
125,pangai,-22.45,18.9667,2.15,69,0,3.74,NA,1687913169
126,pangai,-13.2,49.05,16.84,76,10,1.71,MG,1687913046
127,pangai,-35.1,173.7833,13.77,75,83,5.29,NZ,1687912646
128,pangai,29.9697,40.2064,27.76,24,0,3.65,SA,1687913170
129,pangai,3.0707,172.7902,26.8,84,100,6.29,KI,1687912600
130,pangai,16.8634,-99.8901,30.9,66,75,4.12,MX,1687912379
131,pangai,-35.35,150.4667,10.85,83,100,2.89,AU,1687913074
132,pangai,28.8947,64.4101,29.46,50,0,1.92,PK,1687913053
133,pangai,-17.8786,36.8883,16.97,93,0,1.54,MZ,1687913170
134,pangai,62.2266,-6.589,11.51,92,92,6.63,FO,1687912616
135,pangai,-8.9266,125.4092,19.95,79,32,1.08,TL,1687912643
136,pangai,59.863,38.3813,13.68,73,100,0.99,RU,1687913171
137,pangai,-34.7333,135.8667,13.6,59,4,4.43,AU,1687913171
138,pangai,17.4167,101.5,21.73,94,100,0.08,TH,1687913172
139,pangai,11.6667,92.75,28.02,89,75,2.06,IN,1687912637
140,pangai,-1.95,18.2667,21.07,88,100,1.11,CD,1687913173
141,pangai,-27.4871,-55.1199,15.82,79,5,1.89,AR,1687913173
142,pangai,10.5669,72.642,28.52,73,100,7.83,IN,1687912613
143,pangai,26.7693,31.5021,28.74,26,0,0.95,EG,1687913173
144,pangai,8.5711,81.2335,27.18,78,100,7.73,LK,1687913024
145,pangai,19.5833,-98.5833,16.12,63,77,3.04,MX,1687912997
146,pangai,38.421,-121.4238,32.95,41,0,4.12,US,1687912599
147,pangai,-10.7081,-48.4172,24.0,45,0,0.22,BR,1687913173
148,pangai,-41.5333,146.6667,9.09,55,9,0.45,AU,1687913174
149,pangai,13.35,-15.75,26.58,73,96,3.86,GM,1687913174
150,pangai,-24.7859,-65.4117,17.33,80,0,3.6,AR,1687913174
151,pangai,63.8424,-22.4338,10.26,93,100,7.72,IS,1687913174
152,pangai,-24.8667,113.6333,13.1,61,0,8.75,AU,1687912588
153,pangai,-20.5167,57.5167,20.21,88,40,1.54,MU,1687912606
154,pangai,48.9329,-125.5528,15.05,85,12,0.89,CA,1687912587
155,pangai,47.3821,-61.8597,17.03,94,75,7.72,CA,1687913174
156,pangai,65.6145,-37.6368,5.09,95,65,3.26,GL,1687912599
157,pangai,30.3638,-97.9796,37.75,42,0,4.12,US,1687913175
158,pangai,4.2498,117.8871,26.07,86,74,1.12,MY,1687913175
159,pangai,54.4333,113.6,10.04,96,100,0.99,RU,1687913175
160,pangai,-42.7826,147.0587,8.72,71,14,2.36,AU,1687912588
161,pangai,-21.6403,-41.0511,22.05,84,0,7.4,BR,1687913176
162,pangai,34.1667,77.5833,13.45,58,7,1.54,IN,1687913176
163,pangai,57.9375,69.0217,12.06,69,12,3.6,RU,1687913176
164,pangai,5.2741,-3.595,24.79,84,100,2.84,CI,1687913176
165,pangai,33.9911,-6.8401,22.86,100,0,2.06,MA,1687912650
166,pangai,56.25,42.1667,12.7,81,100,1.4,RU,1687913177
167,pangai,66.3167,-179.1667,2.37,97,100,1.58,RU,1687913177
168,pangai,49.2361,135.1742,24.68,64,100,5.24,RU,1687913177
169,pangai,-46.1333,167.6833,10.62,97,100,0.15,NZ,1687912597
170,pangai,-16.8392,36.9856,13.79,85,16,1.56,MZ,1687913177
171,pangai,10.9995,122.6711,28.66,77,90,5.53,PH,1687912603
172,pangai,24.8,125.2833,29.92,84,75,7.2,JP,1687913177
173,pangai,-28.8667,153.5667,19.32,42,94,1.1,AU,1687913178
174,pangai,-14.2667,50.1667,18.81,77,13,4.89,MG,1687913031
175,pangai,-45.8667,-67.5,0.92,86,0,2.57,AR,1687913039
176,pangai,31.61,34.7642,24.11,81,0,1.28,IL,1687913178
177,pangai,25.2631,63.471,29.04,83,97,3.37,PK,1687913178
178,pangai,-11.0964,-77.6139,20.08,79,4,4.14,PE,1687912638
179,pangai,46.8083,-100.7837,24.91,68,75,6.69,US,1687912986
180,pangai,16.9833,73.3,26.83,87,100,4.82,IN,1687913179
181,pangai,-33.6971,-53.4616,12.58,95,100,4.33,UY,1687912475
182,pangai,22.5667,59.5289,28.63,74,100,5.9,OM,1687912911
183,pangai,-2.0226,147.2712,28.04,78,99,5.0,PG,1687912601
184,pangai,42.0372,119.2889,31.14,24,100,3.68,CN,1687913179
185,pangai,-20.3428,57.7575,20.14,88,40,1.54,MU,1687912608
186,pangai,66.7697,123.3711,21.06,62,96,4.5,RU,1687912616
187,pangai,-21.3667,55.6167,19.21,76,75,3.19,RE,1687913033
188,pangai,20.1986,1.0114,32.98,22,42,3.57,ML,1687912637
189,pangai,-22.9661,-42.0278,20.98,88,0,4.63,BR,1687912472
190,pangai,11.7751,-72.4445,28.66,72,17,8.61,CO,1687913181
191,pangai,67.667,12.6934,10.92,92,100,6.95,NO,1687913181
192,pangai,-2.5744,150.7967,28.77,68,96,4.34,PG,1687912607
193,pangai,40.6533,35.8331,13.85,91,0,1.26,TR,1687913181
194,pangai,70.6333,147.9167,19.59,34,99,3.45,RU,1687912617
195,pangai,35.8668,47.6051,15.95,27,0,2.41,IR,1687913181
196,pangai,60.1432,-45.2371,5.8,88,100,2.88,GL,1687912594
197,pangai,41.1415,-73.3579,22.9,83,75,3.6,US,1687912620
198,pangai,63.7506,-68.5145,2.85,86,100,4.12,CA,1687912607
199,pangai,50.75,13.0667,12.72,87,0,2.2,DE,1687913182
200,pangai,31.7471,54.2088,30.97,14,0,4.12,IR,1687913182
201,pangai,54.4253,119.9327,20.61,60,1,4.32,RU,1687913182
202,pangai,64.2539,-15.2082,10.38,91,100,7.0,IS,1687912640
203,pangai,16.0333,-93.8667,27.81,79,100,3.87,MX,1687913183
204,pangai,33.9905,50.6838,28.14,13,0,1.65,IR,1687913183
205,pangai,-20.7333,139.5,21.87,37,58,4.63,AU,1687912639
206,pangai,18.7369,7.3853,32.02,11,49,3.72,NE,1687913183
207,pangai,41.3712,-73.414,22.2,83,100,0.45,US,1687912625
208,pangai,-20.4081,57.7,20.16,88,40,1.54,MU,1687912593
209,pangai,46.2198,-64.5411,23.38,94,40,4.63,CA,1687913184
210,pangai,20.05,75.1833,21.51,84,100,3.92,IN,1687913184
211,pangai,61.4732,-6.8119,10.69,91,31,8.36,FO,1687913184
212,pangai,22.2667,-101.9667,25.06,28,7,9.55,MX,1687913184
213,pangai,63.4427,-20.2734,10.79,83,100,5.24,IS,1687912597
214,pangai,-9.0122,-35.2225,24.12,87,45,4.64,BR,1687913184
